employee_id,first_name,last_name,gender,date_of_birth,hire_date,department,job_title,job_level,employment_type,education_level,marital_status,location,years_experience,manager_id
EMP0001,Emily,Collins,Male,1970-03-19,2023-02-15,Sales,Sales Team Lead,Lead,Full-Time,Bachelor,Divorced,Cairo,16,
EMP0002,Christopher,Barber,Male,1993-06-18,2021-07-05,Sales,Account Executive,Mid Level,Full-Time,PhD,Divorced,Jeddah,6,
EMP0003,Joe,Patton,Male,1991-04-29,2012-01-27,Customer Service,Customer Support Specialist,Mid Level,Full-Time,Diploma,Divorced,London,7,
EMP0004,Tiffany,Evans,Male,1967-03-14,2021-11-21,Sales,Senior Sales Representative,Senior,Full-Time,Bachelor,Divorced,Dubai,12,
EMP0005,Christopher,Levy,Male,1976-12-14,2017-02-11,Administration,Administrative Assistant,Entry Level,Full-Time,Bachelor,Single,Dubai,1,
EMP0006,Alexis,Turner,Male,1983-04-03,2018-11-03,Operations,Operations Specialist,Mid Level,Part-Time,Bachelor,Married,Dubai,4,
EMP0007,Jeremiah,Smith,Female,2004-07-01,2013-11-26,Sales,Sales Representative,Mid Level,Part-Time,Master,Married,Dubai,4,
EMP0008,Lauren,Smith,Female,1979-08-21,2017-04-25,IT,Network Engineer,Mid Level,Part-Time,Bachelor,Divorced,Jeddah,3,
EMP0009,Jason,Mercado,Female,2000-06-19,2018-06-13,Customer Service,Senior Customer Support Specialist,Senior,Full-Time,Master,Married,Jeddah,8,
EMP0010,Joseph,Barnes,Female,1978-04-24,2025-11-09,IT,IT Manager,Manager,Contract,Bachelor,Divorced,London,23,
EMP0011,Michelle,Delacruz,Male,2002-05-06,2023-06-23,Engineering,Software Engineer,Mid Level,Contract,Bachelor,Divorced,Cairo,6,
EMP0012,Heather,Adams,Male,1967-05-23,2019-05-19,IT,Senior Network Engineer,Senior,Full-Time,Bachelor,Single,London,9,
EMP0013,Heidi,Saunders,Female,1985-06-19,2015-08-05,Sales,Junior Sales Representative,Entry Level,Full-Time,Bachelor,Single,London,1,
EMP0014,Sharon,Anderson,Female,1981-11-16,2015-12-20,Engineering,Backend Developer,Mid Level,Full-Time,Master,Married,Cairo,3,
EMP0015,Nathan,Barker,Male,1988-03-27,2013-11-26,Engineering,Senior Data Engineer,Senior,Full-Time,Bachelor,Married,Cairo,9,
EMP0016,Maria,Eaton,Female,1982-07-21,2012-09-26,IT,IT Manager,Manager,Part-Time,Bachelor,Divorced,Cairo,19,
EMP0017,Marie,Harris,Male,1992-02-09,2024-04-26,Engineering,Data Engineer,Mid Level,Full-Time,Master,Divorced,Cairo,5,
EMP0018,Cheryl,Thomas,Female,1968-05-25,2021-02-03,Engineering,Engineering Manager,Manager,Part-Time,Bachelor,Divorced,Dubai,22,
EMP0019,Samuel,Moore,Male,1973-10-09,2025-02-06,Engineering,Engineering Manager,Manager,Part-Time,Bachelor,Single,Dubai,22,
EMP0020,Kyle,Jordan,Female,2000-10-20,2013-02-09,Engineering,Frontend Developer,Mid Level,Full-Time,Bachelor,Divorced,Riyadh,4,
